"Priority","DateReported","Modified","Category","Contract_x0020_No","Product_x0020_Impacted","Communication_x0020_Link","Description","Issue_x0020_Type","Sourcing_x0020_Option","Resources","Cross_x0020_Reference_x0020_Prod"
"Medium","2022-05-12","2022-05-16","Electrosurgery - Monopolar, Bipolar &amp; Argon Enhanced","<div class=""ExternalClass21EC1B1ECFA9483AAFF83C8A0A38A02E""><div><a href=""https&#58;//members.healthtrustpg.com/contracts/4735"" title=""?4735"">?4735</a><br></div></div>","<div class=""ExternalClass24DEA8839ECF45A1A9F50CE349523E61""><div>E7507 Valleylab? REM
Polyhesive? Adult Patient Return Electrode, 9? (2.7 m) (50/case)</div><div>E7507-DB Valleylab? REM
Polyhesive? Adult Patient Return Electrode, 15? (4.6 m) (50/case)</div><div>E7508 Valleylab? REM
Polyhesive? Adult Cordless Patient Return Electrode (100/case)</div><div>E7509 Valleylab? REM
Polyhesive? Adult Cordless Patient Return Electrode (50/case)</div><br></div>","<div class=""ExternalClass0552646DAB6E4137B1DF2B44E3C851DF""><div><a href=""https&#58;//portal.healthtrustpg.com/-/media/407F48F53AB24A458C79D0125BF84FAD.ashx?utm_campaign=2018%20Response%20MedSurg&amp;utm_medium=email&amp;_hsmi=212468361&amp;_hsenc=p2ANqtz-9-WV9DzAGRM4g2SAGsFx__x-rdGLofQB4-WziztnPbyY2VNxXY756ajYs78p82rogez3r_nd5c25meRrxD0uaMh7u"" title=""?Medtronic May 5 Letter"">?Medtronic May 5 Letter</a><br></div></div>","Medtronic is anticipating manufacturing lines to be down for a few weeks. This will cause intermittent market availability on some product codes for adult patient return electrodes. Alternative products offered within communicated letter.","Raw Material Shortage","Contracted Alternatives, Alternatives Recommended by Supplier","<div class=""ExternalClass435CF45A47FC42348208CDDDF3277699""><div><ul><li><a href=""https://members.healthtrustpg.com/contracts/?4735"" title=""Award Summary?"">Award Summary?</a></li></ul></div></div>","<div class=""ExternalClassB628069B4526483FA2805F6133573FD2""><div><a href=""https://members.healthtrustpg.com/contracts/?4735"" title=""?Electrosurgery - Monopolar, Bipolar &amp; Argon Enhanced"">?Electrosurgery - Monopolar, Bipolar &amp; Argon Enhanced</a><br></div></div>"
"Critical","2022-05-12","2022-05-16","Enteral Feeding Pumps, Sets, Feeding Tubes and Related Supplies","<div class=""ExternalClass233DB5EC772E4C71A901498819E34BBA""><div><a href=""https&#58;//members.healthtrustpg.com/contracts/1565"" title=""?1565"">?1565</a><br></div></div>","<div class=""ExternalClass54B1148D089C4CDA8549C3BE9C850B74""><div><span style=""color&#58;black;"">?</span>?<span>Gravity Sets&#58; 702505&#58; Recovery through May 2022<br></span></div><div><span>888472500&#58; Rolling shipments through recovery in Fall 2022</span><br></div></div>","<div class=""ExternalClass01FEE3291FFD490297930184EC47CB8C""><div>?No official letter communicated. Information received via supplier.<br></div></div>","Gravity sets remain on a rolling disruption due to raw material shortage.","Raw Material Shortage","Purchase Allocation","","<div class=""ExternalClass5752E2D6A3AB4D9C86FCC6B8A8237690""><div><a href=""https&#58;//members.healthtrustpg.com/contracts/1565"" title=""?Enteral Feeding Pumps, Sets, Feeding Tubes and Related Supplies""><span style=""color&#58;black;"">?</span>?Enteral Feeding Pumps, Sets, Feeding Tubes and Related Supplies</a><br></div></div>"
"Medium","2022-05-13","2022-05-16","Infusion Port Disinfection Caps","<div class=""ExternalClass87C0285320C6485A9727CE5272011893""><div><a href=""https&#58;//members.healthtrustpg.com/contracts/7545"" title=""?7545"">?7545</a><br></div></div>","<div class=""ExternalClassEB32A6F8D94049CDB50DA7E8131F969A""><div>?SCRC3-10-1600 SwabPackPlus?<p>SCXT3-10-2000 SwabPack?, 10 Ct., Bag&#160;</p><p>SCXT3-2000 SwabCap?, 200-ct. Box</p><p>SCXT3-2400 SwabPack?, 25-ct. Bag</p><p>SCXT3-5-2000 SwabSleeve?<br></p></div></div>","<div class=""ExternalClass588AE4DD719043129D04F82569DDD110""><div><a href=""https&#58;//portal.healthtrustpg.com/-/media/BB79B93653A2454EB1D51C3962FE04ED.ashx?utm_campaign=2018%20Response%20MedSurg&amp;utm_medium=email&amp;_hsmi=212147130&amp;_hsenc=p2ANqtz-9w75k_dujmgGsvpQGUqMk80WpPI98zJjX6hLfhQ1ZGyEVhbNRqi44EktP_2iDlEWS_LXGOlQ4lZhaaJbYMLx5BEiY"" title=""?ICU Medical May 3 Letter"">?ICU Medical May 3 Letter</a><br></div></div>","ICU Medical is currently experiencing manufacturing delays of SwabCap disinfecting caps due to industry supply constraints of raw materials used in its manufacturing, including aluminum foil used in the individual product packaging. Based on the potential disruption, they are manually reviewing all orders in order to fulfill the current run rate of product.","Raw Material Shortage","Purchase Allocation, Non-Contracted Alternatives","<div class=""ExternalClass585B784029C44A39A2BF8B936ACC2A97""><div><ul><li><a href=""https://members.healthtrustpg.com/contracts/?7545"" title=""Award Summary"">Award Summary</a>?</li></ul></div></div>","<div class=""ExternalClass8AC58BFE8BC443E9990E5FFE5CE6257B""><div><a href=""https://members.healthtrustpg.com/contracts/?7545"" title=""?Infusion Port Disinfection Caps"">?Infusion Port Disinfection Caps</a><br></div></div>"
"Medium","2022-05-13","2022-05-16","Kits - Suction and Trach Care and Related Supplies","<div class=""ExternalClassD5AD93EB1A584BE1B07F0D58EFA1D239""><div>?<a href=""https&#58;//members.healthtrustpg.com/contracts/48389"" title=""48389"">48389</a><br></div></div>","<div class=""ExternalClassE95F73668A094D70A4F69E861117CE85""><div><span style=""color&#58;black;""><b><p><b style=""color&#58;rgb(50, 49, 48);"">?</b><b style=""color&#58;rgb(50, 49, 48);"">Single suction catheters&#58;</b><br></p></b></span></div><p>30500-, 30520, 30620, 30688, 30820, 30888, 31000-, 31020, 31200-, 31220-, 31400, 31420, 31445-, 31600, 31620-, 31800, 31820, 33000, 33400-, 33425, 33800, 141900, 141901, 141902, 141903,141904, 141906, 141908<br></p><p><br></p><b>Suction catheter kits&#58; </b><p>30579, 30677, 30877, 31077,&#160;31079, 31279, 31479, 31679, 31879 &#160; &#160; &#160; &#160; &#160; &#160; &#160; &#160; &#160; &#160; &#160; &#160; &#160; &#160; &#160; &#160; &#160; &#160; &#160; &#160; &#160; &#160; &#160;&#160;</p><p><br></p><p><b>Sterile water&#58; </b>1020, 1022-<br></p><div><p><br></p><b>Sterile saline</b>&#58; 1024-, 10000-<br></div><div><p><br></p><b>Suction catheter kits with solution&#58; </b>12062-, 12082, 12102-, 12142, 12153, 12182-, 10062, 10082, 10102, 10122, 10142, 12191, 10182<p><br></p><b>Mucus specimen traps / containers</b>&#58;</div><div>8884724500, 8884724504, 8886864304, 8886864604, 8888257360, 8888257378, 8888257386,</div><div>8888257469, 8888257477, 8888257485, 8888257527, 8888257535, 8888257550, 8888258608</div><br></div>","<div class=""ExternalClass8DF5923027044C07BBCF83FF5580668B""><div><a href=""https&#58;//portal.healthtrustpg.com/-/media/4C091BE89C574A03B6409C1119827598.ashx?utm_campaign=2018%20Response%20MedSurg&amp;utm_medium=email&amp;_hsmi=212951564&amp;_hsenc=p2ANqtz--E8yvKJgvzghe3iLpDHbi9vTKx6vGgSoiMriTVa1NexHuAJUizG5opoPCzUs2UhIl0mgelu0g56TgoELC5gNVqQVh"" title=""?Cardinal April 25 Letter"">?Cardinal April 25 Letter</a><br></div></div>","Single sterile suction catheters and kits: 
Cardinal is experiencing manufacturing delays due to a packaging raw material shortage. Production continues but at a lower rate. As packaging raw material allocation improves, Cardinal will increase production. You may experience rolling backorders.

Sterile saline and sterile water: 
Cardinal is experiencing delays due to sterilization capacity constraints. Sterilizer capacity has been impacted by broader global capacity constraints and increased demand, ultimately resulting in increased lead times. Production of irrigating solutions continues but is delayed due to a backlog at the sterilizer. You may experience rolling backorders. 

Mucus specimen traps/containers:
Cardinal is changing the supplier and production location for its ARGYLE? Mucus Traps and Specimen Containers. There will be rolling backorders and stock-outs during this transition period. Cardinal has placed the impacted mucus specimen traps and containers on allocation until its overall inventory health improves.","Raw Material Shortage, Packaging Issue, Manufacturing Delays from Third Party Vendor","Purchase Allocation","<div class=""ExternalClass020CA78A29774890B79941263077B0BF""><div><ul><li><a href=""https://members.healthtrustpg.com/contracts/?48389"" title=""Award Summary?"">Award Summary?</a></li></ul></div></div>","<div class=""ExternalClassD50CCF1DFE4E4C93A4111E4CACDEE53F""><div><a href=""https://members.healthtrustpg.com/contracts/?48389"" title=""?Kits - Suction and Trach Care and Related Supplies"">?Kits - Suction and Trach Care and Related Supplies</a><br></div></div>"
"Medium","2022-05-13","2022-05-16","Neonatal PICCs","<div class=""ExternalClassC8D48CEF2BC840A281EF34DBAADB62CF""><div><a href=""https&#58;//members.healthtrustpg.com/contracts/6671"" title=""?6671"">?6671</a><br></div></div>","<div class=""ExternalClass4CE2AB674AA44AB6B7F247538270D412""><div>?Argyle? Peripherally Inserted Central Catheters and Insertion Trays. Product codes identified in the letter. <br></div></div>","<div class=""ExternalClassE5A9D2707B2645938CABB69F9B52C970""><div><a href=""https&#58;//portal.healthtrustpg.com/-/media/3507AE84C0B943F5A908F02BB0C2D666.ashx?utm_campaign=2018%20Response%20MedSurg&amp;utm_medium=email&amp;_hsmi=202856013&amp;_hsenc=p2ANqtz-9Yhoc_jnxOA9X9udUTprNFWb35Ilnm6aFnZK5j1OueMoGDfKwWL65DooNuVu5O0BO9eMjvYHXARKOIgKfFX2l7-LD"" title=""?Cardinal Letter - January"">?Cardinal Letter - January</a><br></div></div>","Experiencing rolling backorders due to raw material constraints and high customer demand.","Raw Material Shortage, Demand Fluctuations","Purchase Allocation","<div class=""ExternalClassAABDFBF6C298440089AA1B5A499D2C03""><div><ul><li><a href=""https://members.healthtrustpg.com/contracts/?6671"" title=""Award Summary"">Award Summary</a>?</li></ul></div></div>","<div class=""ExternalClass494A4F8C439949D680B1E80668724FE7""><div><a href=""https://members.healthtrustpg.com/contracts/?6671"" title=""?PICCs - Neonatal"">?PICCs - Neonatal</a><br></div></div>"
"Medium","2022-05-12","2022-05-16","Neonatal - Enteral Feeding Tubes and Accessories","<div class=""ExternalClass1BF8D094DC7947ACBEB55A6743EAED6D""><div>?<a href=""https&#58;//members.healthtrustpg.com/contracts/6666"" title=""6666"">6666</a><br></div></div>","<div class=""ExternalClass83F675A6E81243AC871FFA4AADAA3C99""><div>?435SE<p>460SE<br></p></div></div>","<div class=""ExternalClassB2FF09643A7349F384FCA5B1E24529F6""><div>?No official letter communicated. Information received via supplier. <br></div></div>","Intermittent delays are being seen across the syringe portfolio due to labor shortages at the manufacturing sites and delays at the sterilizer. Two codes are currently experiencing a supply interruption: 435SE and 460SE. Estimated recovery for these two codes is pending at this time.  

Cardinal is experiencing a supply interruption with its pediatric extension sets due to a raw material shortage in the packaging of these products. Supply will be constrained on these codes through recovery. Non-ENFit? codes will not recover prior to discontinuation in July. Estimated Recovery Dates: The two most common codes, 60ENS and 60ENY will recover in July with other impacted codes recovering through November 2022","Manufacturing Delays from Third Party Vendor, Labor Shortages, Raw Material Shortage, Packaging Issue","Clinical Alternatives","","<div class=""ExternalClass248E6DBDA810445EB1C3F2A48318A2E1""><div><a href=""https://members.healthtrustpg.com/contracts/?6666"" title=""?Neonatal - Enteral Feeding Tubes and Accessories"">?Neonatal - Enteral Feeding Tubes and Accessories</a>&#160;<br></div></div>"
"High","2022-05-13","2022-05-16","Neonatal UV Catheters","<div class=""ExternalClass0D7D97A6CE624D269A475686EBDBC62E""><div><a href=""https&#58;//members.healthtrustpg.com/contracts/6673"" title=""?6673"">?6673</a><br></div></div>","<div class=""ExternalClassBF7A5E9AE13E49899FB5B4FAECE99DCC""><div>?Argyle Umbilical Vessel Catheters and Argyle UVC Insertion Trays. Product codes identified in the letter. <br></div></div>","<div class=""ExternalClass1C2D61EAC35C45D6812D759C622E346A""><div><a href=""https&#58;//portal.healthtrustpg.com/-/media/3507AE84C0B943F5A908F02BB0C2D666.ashx?utm_campaign=2018%20Response%20MedSurg&amp;utm_medium=email&amp;_hsmi=202856013&amp;_hsenc=p2ANqtz-9Yhoc_jnxOA9X9udUTprNFWb35Ilnm6aFnZK5j1OueMoGDfKwWL65DooNuVu5O0BO9eMjvYHXARKOIgKfFX2l7-LD"" title=""?Cardinal Letter - January"">?Cardinal Letter - January</a><br></div></div>","UPDATE 5/13: 
Experiencing rolling backorders due to raw material constraints and production delays related to machinery. Estimated Recovery Dates: Will vary by code but estimated recovery will be between July ? October 2022.","Raw Material Shortage, Manufacturing Delays from Third Party Vendor","Member Communication, Purchase Allocation","<div class=""ExternalClassEF0D25D950D246F2AD663EFBA286133C""><div><ul><li><a href=""https://members.healthtrustpg.com/contracts/?6673"" title=""Award Summary"">Award Summary</a>?</li></ul></div></div>","<div class=""ExternalClass9DD9A759E60E4F9F880B47AED0C7E6C3""><div><a href=""https://members.healthtrustpg.com/contracts/?6673"" title=""?Neonatal UV Catheters"">?Neonatal UV Catheters</a><br></div></div>"
"Medium","2022-05-12","2022-05-16","Patient Plastic and Bedside Care Items","<div class=""ExternalClassDEF8A744E9F34FBCA313D8A79B2FA41B""><div><a href=""https&#58;//members.healthtrustpg.com/contracts/187"" title=""?187"">?187</a><br></div></div>","<div class=""ExternalClassEE7A0A176AD841F789CC7660A7208D75""><div><span style=""color&#58;black;"">?</span>?DYND30385</div><div><p>DYND30362</p><p>DYND30364</p><p>DYND30228</p><p>DYND30370&#160;</p><p>DYND80024 24 Hour Urine Collection Bottle &#160;Sub&#58; BXTU3013H<br></p></div></div>","<div class=""ExternalClass5E15C0C74E254C93B8371711BEB863F0""><div>?No official letter communicated. Information received via supplier.<br></div></div>","Medline Brand Specimen Containers are seeing higher demand with longer lead times, please use subs PMR30363 and PMR30364","Demand Fluctuations","Non-Contracted Alternatives","<div class=""ExternalClass90819D7403B940918ECC4F3EA54EE506""><div><ul><li><a href=""https://members.healthtrustpg.com/contracts/?187"" title=""Award Summary"">Award Summary</a>?</li></ul></div></div>","<div class=""ExternalClassDD23AA820A434EF78B6EEDBC2B581ABC""><div><a href=""https://members.healthtrustpg.com/contracts/?187"" title=""?Patient Plastic and Bedside Care Items"">?Patient Plastic and Bedside Care Items</a><br></div></div>"
"Medium","2022-05-20","2022-05-23","Infusion Pumps Sets Solutions and Needleless Products","<div class=""ExternalClass0057203DDD5D4B5FB0A7C3443BFB965E""><div>?<a href=""https&#58;//members.healthtrustpg.com/contracts/44256"" title=""44256"">44256</a><br></div></div>","<div class=""ExternalClass16BC4543932D4EFCA09F8D2FE7D80B12""><div><p>Affected Secodnary Administration Sets&#58;</p>?2C7452 Secondary Medication Set, DUO-VENT, INTERLINK Luer Lock Cannula (detached). 10 drops/mL. 37&quot; (95 cm)
</div><div><div><br></div></div><div>2C7462 Secondary Medication Set, DUO-VENT, For use with CLEARLINK System. 10 drops/mL. 37&quot; (93 cm)
</div><div><div><br></div></div><div>2H7462 Secondary Medication Set, DUO-VENT, For use with CLEARLINK System. 10 drops/mL. 37&quot; (93 cm). Non-DEHP
</div><div><div><br></div></div><div>2H7463 Secondary Medication Set, DUO-VENT, For use with CLEARLINK System. 60 drops/mL. 37&quot; (93 cm). Non-DEHP
</div><div><div><br></div></div><div>2H7452 Secondary Medication Set, DUO-VENT, INTERLINK Lever Lock Cannula (detached). 10 drops/mL. 37&quot; (93 cm), NonDEHP
</div><div><div><br></div></div><div>2H7451 Secondary Medication Set, Hanger, Lever Lock Cannula (detached), Male Luer Lock Adapter, non-DEHP. 10
drops/mL. 37&quot; (93 cm)
</div><div><div><br></div></div><div>2C7461 Secondary Medication Set, Non-Vented, For use with CLEARLINK System. 10 drops/mL. 37&quot; (93 cm)
</div><div><div><br></div></div><div>2C7451 Secondary Medication Set, Non-Vented, INTERLINK Lever Lock Cannula (detached). 10 drops/mL. 37&quot; (95 cm)<br></div></div>","<div class=""ExternalClass2286028F52784F6D9B20393D9FF55289""><div><a href=""https&#58;//portal.healthtrustpg.com/-/media/C7BA3F9862FC40F798E99191C5093038.ashx?utm_campaign=2018%20Response%20MedSurg&amp;utm_medium=email&amp;_hsmi=213670876&amp;_hsenc=p2ANqtz--92T9iqTA2jJZ-jO-uJxnuHGS5T-gyjuIWZnZdhN6ay8dereCW7x5KJEh9FhoQUZk5c3uA2KVZZkC4J8UNEATqezK"" title=""?Baxter Letter - May 2022"">?Baxter Letter - May 2022</a><br></div></div>","Baxter is placing 100% allocation on certain Secondary Administration Set products.","Manufacturing Delays from Third Party Vendor, Raw Material Shortage","Contracted Alternatives, Purchase Allocation","<div class=""ExternalClass10B95CF8AD0D474299B426D8140AB206""><div><ul><li><a href=""https://members.healthtrustpg.com/contracts/?44256"" title=""Award Summary?"">Award Summary?</a></li></ul></div></div>","<div class=""ExternalClass71964FC1739B4C49A61B8BB990DB92BD""><div><a href=""https://members.healthtrustpg.com/contracts/?44256"" title=""?Infusion Pumps, Sets, Solutions and Needleless Products"">?Infusion Pumps, Sets, Solutions and Needleless Products</a><br></div></div>"
"Medium","2022-05-23","2022-05-23","Wound Closure Strips","<div class=""ExternalClassE6DA8795F9984200AAEE06AD6D4E228A""><div><a href=""https&#58;//members.healthtrustpg.com/contracts/986"" title=""?986"">?986</a><br></div></div>","<div class=""ExternalClass207DB6858FAA4317A879691613F32FD1""><div>?Backorder to some of its 3M Steri-Strip Products&#58;</div><div><div>R1541, R1540, R1546, R1549, B1551, B1557, A1847, R1542, E4541, E4542, A1841, B1559, E4547, E4549, E4548, W8512<br></div></div><div><br></div></div>","","3M is experiencing a backorder related to some of its 3M? Steri-Strip? products.","Not Specified - Global Supply Challenges","Non-Contracted Alternatives","<div class=""ExternalClass823904D43BC843CB83075E5B933C443D""><div><ul><li><a href=""https://members.healthtrustpg.com/contracts/?986"" title=""Award Summary"">Award Summary</a>?</li></ul></div></div>","<div class=""ExternalClassF981B0B50C1B411984AA655ECFCE6E55""><div><a href=""https://members.healthtrustpg.com/contracts/?986"" title=""??Wound Closure Strips &amp; Benzoin""><span style=""color&#58;black;"">?</span>?Wound Closure Strips &amp; Benzoin</a><br></div></div>"
